公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
2376,技嘉,"9,134,400","11,601,877","11,047,434","11,009,777",-21.27,"7,108,074",28.51
2377,微星,"15,570,323","15,674,299","15,077,434","17,725,961",-0.66,"13,779,635",13.0
2379,瑞昱,"9,450,162","8,576,975","7,811,945","8,055,459",10.18,"6,078,792",55.46
2380,虹光,"329,761","284,132","286,603","279,749",16.06,"118,622",177.99
2382,廣達,"90,388,641","85,052,076","84,836,851","94,452,281",6.27,"93,471,203",-3.3
2383,台光電,"3,385,779","3,220,597","2,951,523","2,818,344",5.13,"2,045,256",65.54
2385,群光,"8,866,488","8,421,571","8,004,716","9,093,560",5.28,"8,014,033",10.64
2387,精元,"1,955,526","2,018,729","2,160,395","2,017,906",-3.13,"1,863,546",4.94
2388,威盛,"600,796","548,591","468,545","545,881",9.52,"597,361",0.58
2390,云辰,"46,741","44,599","72,128","41,920",4.8,"41,986",11.33
2392,正崴,"5,309,864","5,732,272","6,391,299","6,349,181",-7.37,"6,706,050",-20.82
2393,億光,"2,416,927","2,275,834","2,066,504","2,179,112",6.2,"1,785,872",35.34
2395,研華,"5,047,082","4,487,246","4,675,360","5,031,322",12.48,"5,121,824",-1.46
2397,友通,"1,429,246","1,149,746","692,175","742,104",24.31,"698,656",104.57
2399,映泰,"180,384","244,409","212,013","232,781",-26.2,"119,398",51.08
2401,凌陽,"715,666","716,783","669,462","643,396",-0.16,"539,411",32.68
